Probe Set ID	Target Description	Gene Title	Gene Symbol	Ensembl	SwissProt	SGD accession number
5077_at	YGL075C Mitotic Membrane Component	"Essential membrane protein localized at the nuclear envelope and spindle pole body (SPB), required for insertion of the newly duplicated SPB into the nuclear envelope; potentially phosphorylated by Cdc28p"	MPS2	YGL075C	P53159	S000003043
5078_at	YGL074C questionable ORF	---	---	YGL074C	P53160	S000003042
5079_at	YGL073W heat shock transcription factor	"Trimeric heat shock transcription factor, activates multiple genes in response to stresses that include hyperthermia; recognizes variable heat shock elements (HSEs) consisting of inverted NGAAN repeats; posttranslationally regulated"	HSF1	YGL073W	P10961	S000003041
5080_at	YGL072C questionable ORF	---	---	YGL072C	P53161	S000003040
5081_at	YGL071W Putative transcription factor that binds the consensus site PyPuCACCCPu	Transcription factor involved in iron utilization and homeostasis; binds the consensus site PyPuCACCCPu and activates the expression of target genes in response to changes in iron availability	AFT1	YGL071W	P22149	S000003039
5082_at	YGL070C RNA polymerase II subunit	RNA polymerase II subunit B12.6; contacts DNA; mutations affect transcription start site; involved in telomere maintenance	RPB9	YGL070C	P27999	S000003038
5083_at	YGL069C questionable ORF	---	---	YGL069C	P53162	S000003037
5084_at	YGL068W probable ribosomal protein L12	Protein associated with the mitochondrial nucleoid; putative mitochondrial ribosomal protein with similarity to E. coli L7/L12 ribosomal protein; required for normal respiratory growth	MNP1	YGL068W	P53163	S000003036
5085_at	YGL067W weak similarity to H.influenzae hypothetical protein	"NADH diphosphatase (pyrophosphatase), hydrolyzes the pyrophosphate linkage in NADH and related nucleotides; localizes to peroxisomes"	NPY1	YGL067W	P53164 /// Q6B192	S000003035
5086_at	YGL066W hypothetical protein	Subunit of SAGA histone acetyltransferase complex; involved in formation of the preinitiation complex assembly at promoters; null mutant displays defects in premeiotic DNA synthesis	SGF73	YGL066W	P53165	S000003034
5087_at	YGL065C glycosyltransferase	Mannosyltransferase that catalyzes two consecutive steps in the N-linked glycosylation pathway; alg2 mutants exhibit temperature-sensitive growth and abnormal accumulation of the lipid-linked oligosaccharide Man2GlcNAc2-PP-Dol	ALG2	YGL065C	P43636	S000003033
5088_at	YGL064C similarity to YLR276c and YKR024c	"Mitochondrial ATP-dependent RNA helicase of the DEAD-box family, plays an essential role in mitochondrial function"	MRH4	YGL064C	P53166	S000003032
5089_at	YGL063W pseudouridine synthase 2	"Mitochondrial tRNA:pseudouridine synthase; acts at positions 27 and 28, but not at position 72; efficiently and rapidly targeted to mitochondria, specifically dedicated to mitochondrial tRNA modification"	PUS2	YGL063W	P53167	S000003031
5090_at	YGL062W pyruvate carboxylase	"Pyruvate carboxylase isoform, cytoplasmic enzyme that converts pyruvate to oxaloacetate; highly similar to isoform Pyc2p but differentially regulated; mutations in the human homolog are associated with lactic acidosis"	PYC1	YGL062W	P11154	S000003030
5091_at	YGL061C Death Upon Overexpression	"Essential subunit of the Dam1 complex (aka DASH complex), couples kinetochores to the force produced by MT depolymerization thereby aiding in chromosome segregation; is transferred to the kinetochore prior to mitosis"	DUO1	YGL061C	P53168	S000003029
5092_at	YGL105W Associated with tRNA and amino acyl-tRNA synthetases\; has affinity for quadruplex nucleic acids	"Protein that binds tRNA and methionyl- and glutamyl-tRNA synthetases (Mes1p and Gus1p), delivering tRNA to them, stimulating catalysis, and ensuring their localization to the cytoplasm; also binds quadruplex nucleic acids"	ARC1	YGL105W	P46672	S000003073
5093_at	YGL104C similarity to glucose transport proteins	Mitochondrial protein; mutation affects vacuolar protein sorting; putative transporter; member of the sugar porter family	VPS73	YGL104C	P53142	S000003072
5094_at	YGL103W Ribosomal protein L28 (L29) (rp44) (YL24)	"Ribosomal protein of the large (60S) ribosomal subunit, has similarity to E. coli L15 and rat L27a ribosomal proteins; may have peptidyl transferase activity; can mutate to cycloheximide resistance"	RPL28	YGL103W	P02406	S000003071
5095_at	YGL102C questionable ORF	---	---	YGL102C	P53143	S000003070
5096_at	YGL101W strong similarity to hypothetical protein YBR242w	---	---	YGL101W	P53144	S000003069
5097_at	"YGL100W nuclear pore protein, homologous to sec13"	"Nuclear pore protein that is part of the evolutionarily conserved Nup84p complex (Nup84p, Nup85p, Nup120p, Nup145p, and Seh1p); homologous to Sec13p"	SEH1	YGL100W	P53011	S000003068
5098_at	YGL099W similarity to putative human GTP-binding protein MMR1	Putative GTPase involved in 60S ribosomal subunit biogenesis; required for the release of Nmd3p from 60S subunits in the cytoplasm	LSG1	YGL099W	P53145	S000003067
5099_at	YGL098W hypothetical protein	"Essential SNARE protein localized to the ER, involved in retrograde traffic from the Golgi to the ER; forms a complex with the SNAREs Sec22p, Sec20p and Ufe1p"	USE1	YGL098W	P53146	S000003066
5100_at	YGL097W pheromone response pathway suppressor	"Nucleotide exchange factor for Gsp1p, localizes to the nucleus, required for nucleocytoplasmic trafficking of macromolecules; suppressor of the pheromone response pathway; potentially phosphorylated by Cdc28p"	SRM1	YGL097W	P21827	S000003065
5101_at	YGL096W similarity to copper homeostasis protein Cup9p	Homeodomain-containing protein and putative transcription factor found associated with chromatin; target of SBF transcription factor; induced during meiosis and under cell-damaging conditions; similar to Cup9p transcription factor	TOS8	YGL096W	P53147	S000003064
5102_at	YGL095C cytosolic and peripheral membrane protein	"Protein of the Sec1p/Munc-18 family, essential for vacuolar protein sorting; required for the function of Pep12p and the early endosome/late Golgi SNARE Tlg2p; essential for fusion of Golgi-derived vesicles with the prevacuolar compartment"	VPS45	YGL095C	P38932	S000003063
5103_at	YGL094C 135-kDa protein that is subunit of poly(A) ribonuclease	"Essential subunit of the Pan2p-Pan3p poly(A)-ribonuclease complex, which acts to control poly(A) tail length and regulate the stoichiometry and activity of postreplication repair complexes"	PAN2	YGL094C	P53010	S000003062
5104_at	YGL093W component of spindle pole	"Protein required for accurate chromosome segregation, localizes to the nuclear side of the spindle pole body; forms a complex with Ydr532cp"	SPC105	YGL093W	P53148	S000003061
5105_at	YGL092W Nuclear pore complex protein with GLFG motif	"Essential nucleoporin, catalyzes its own cleavage in vivo to generate a C-terminal fragment that assembles into the Nup84p subcomplex of the nuclear pore complex, and an N-terminal fragment of unknown function that is homologous to Nup100p"	NUP145	YGL092W	P49687	S000003060
5106_at	YGL091C 35 kDa nucleotide binding protein	Essential iron-sulfur cluster binding protein localized in the cytoplasm; forms a complex with Cfd1p that is involved in iron-sulfur protein assembly in the cytosol; similar to P-loop NTPases	NBP35	YGL091C	P52920	S000003059
5107_at	YGL090W Ligase Interacting Factor 1\; physically interacts with DNA ligase 4 protein (Lig4p)	Component of the DNA ligase IV complex that mediates nonhomologous end joining in DNA double-strand break repair; physically interacts with Dnl4p and Nej1p; homologous to mammalian XRCC4 protein	LIF1	YGL090W	P53150 /// Q66RB0	S000003058
5108_at	YGL089C alpha mating factor	"Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)1, which is more highly expressed than MF(ALPHA)2"	MF(ALPHA)2	YGL089C	P32435	S000003057
5109_at	YGL088W questionable ORF	---	---	snR10 /// YGL088W	P53151	S000003056
5110_at	YGL087C Similar to ubiquitin conjugating protein family	"Ubiquitin-conjugating enzyme variant involved in error-free postreplication repair; forms a heteromeric complex with Ubc13p, an active ubiquitin-conjugating enzyme; cooperates with chromatin-associated RING finger proteins, Rad18p and Rad5p"	MMS2	YGL087C	P53152	S000003055
5111_at	YGL086W Coiled-coil protein involved in spindle-assembly checkpoint	Coiled-coil protein involved in the spindle-assembly checkpoint; phosphorylated by Mps1p upon checkpoint activation which leads to inhibition of the activity of the anaphase promoting complex; forms a complex with Mad2p	MAD1	YGL086W	P40957	S000003054
5112_at	YGL085W weak similarity to Staphylococcus aureus nuclease (SNase)	---	---	YGL085W	P53153	S000003053
5113_at	YGL084C strong similarity to hypothetical protein YPL189w	Plasma membrane protein involved in remodeling GPI anchors; member of the MBOAT family of putative membrane-bound O-acyltransferases; proposed to be involved in glycerol transport	GUP1	YGL084C	P53154	S000003052
5114_at	YGL083W suppressor of GTPase mutant	"Putative kinase, suppressor of GTPase mutant, similar to bovine rhodopsin kinase"	SCY1	YGL083W	P53009	S000003051
5115_at	"YGL127C SOH1 encodes a novel 14-kD protein with limited sequence similarity to RNA polymerases. The Soh1 protein interacts with a DNA repair protein, Rad5p, in a two-hybrid system assay."	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; involved in telomere maintenance; conserved with other metazoan MED31 subunits	SOH1	YGL127C	P38633	S000003095
5116_at	YGL126W required for inositol prototrophy	"Protein required for inositol prototrophy, identified as an ortholog of the FIT family of proteins involved in triglyceride droplet biosynthesis; disputed role in the synthesis of inositol phospholipids from inositol"	SCS3	YGL126W	P53012 /// Q6Q556	S000003094
5117_at	YGL125W putative methylenetetrahydrofolate reductase (mthfr)	"Major isozyme of methylenetetrahydrofolate reductase, catalyzes the reduction of 5,10-methylenetetrahydrofolate to 5-methyltetrahydrofolate in the methionine biosynthesis pathway"	MET13	YGL125W	P53128	S000003093
5118_at	YGL124C similarity to S.pombe hypothetical protein	"Protein required for fusion of cvt-vesicles and autophagosomes with the vacuole; associates, as a complex with Ccz1p, with a perivacuolar compartment; potential Cdc28p substrate"	MON1	YGL124C	P53129	S000003092
5119_at	YGL123W Ribosomal protein S2 (S4) (rp12) (YS5)	"Protein component of the small (40S) subunit, essential for control of translational accuracy; phosphorylation by C-terminal domain kinase I (CTDK-I) enhances translational accuracy; similar to E. coli S5 and rat S2 ribosomal proteins"	RPS2	YGL123W	P25443	S000003091
5120_at	YGL122C nuclear polyadenylated RNA binding protein	Nuclear polyadenylated RNA-binding protein required for nuclear mRNA export and poly(A) tail length control; binds nuclear pore protein Mlp1p; autoregulates mRNA levels; related to human hnRNPs; nuclear localization sequence binds Kap104p	NAB2	YGL122C	P32505	S000003090
5121_at	YGL121C hypothetical protein	Proposed gamma subunit of the heterotrimeric G protein that interacts with the receptor Gpr1p; involved in regulation of pseudohyphal growth; requires Gpb1p or Gpb2p to interact with Gpa2p	GPG1	YGL121C	P53130	S000003089
5122_at	YGL120C pre-mRNA processing factor involved in disassembly of spliceosomes after the release of mature mRNA	"RNA helicase in the DEAH-box family, functions in both RNA polymerase I and polymerase II transcript metabolism, involved in release of the lariat-intron from the spliceosome"	PRP43	YGL120C	P53131	S000003088
5123_at	"YGL119W multicopy suppressor of a cytochrome b mRNA translation defect, essential for the electron transfer in the bc1 complex"	"Protein required for ubiquinone (coenzyme Q) biosynthesis and for respiratory growth; exhibits genetic interaction with COQ9, suggesting a common function; similar to prokaryotic proteins involved in early steps of ubiquinone biosynthesis"	ABC1	YGL119W	P27697	S000003087
5124_at	YGL118C questionable ORF	---	---	YGL118C	P53132	S000003086
5125_at	YGL117W hypothetical protein	---	---	YGL117W	P53133	S000003085
5126_at	YGL116W beta-transducin homolog	"Cell-cycle regulated activator of anaphase-promoting complex/cyclosome (APC/C), which is required for metaphase/anaphase transition; directs ubiquitination of mitotic cyclins, Pds1p, and other anaphase inhibitors; potential Cdc28p substrate"	CDC20	YGL116W	P26309	S000003084
5127_at	YGL115W associates with Snf1p	"Activating gamma subunit of the AMP-activated Snf1p kinase complex (contains Snf1p and a Sip1p/Sip2p/Gal83p family member); activates glucose-repressed genes, represses glucose-induced genes; role in sporulation, and peroxisome biogenesis"	SNF4	YGL115W	P12904	S000003083
5128_at	YGL114W weak similarity to H.influenzae permease	---	---	YGL114W	P53134	S000003082
5129_at	YGL113W weak similarity to YOR165w	"Protein involved in the initiation of DNA replication, required for proper assembly of replication proteins at the origins of replication; interacts with Cdc45p"	SLD3	YGL113W	P53135	S000003081
5130_at	YGL112C TATA-binding protein-associated-factor	"Subunit (60 kDa) of TFIID and SAGA complexes, involved in transcription initiation of RNA polymerase II and in chromatin modification, similar to histone H4"	TAF6	YGL112C	P53040	S000003080
5131_at	YGL111W hypothetical protein	"Constituent of 66S pre-ribosomal particles, involved in 60S ribosomal subunit biogenesis"	NSA1	YGL111W	P53136	S000003079
5132_at	YGL110C hypothetical protein	"Protein of unknown function; has a CUE domain that binds ubiquitin, which may facilitate intramolecular monoubiquitination"	CUE3	YGL110C	P53137	S000003078
5133_at	YGL109W questionable ORF	---	---	YGL109W	P53138	S000003077
5134_at	YGL108C weak similarity to hypotetical S.pombe protein	---	---	YGL108C	P53139	S000003076
5135_at	YGL107C strong similarity to hypothetical protein YBR238c	Mitochondrial protein required for respiratory growth; mutant phenotype and genetic interactions suggest a role in delivering mt mRNAs to ribosomes; located on matrix face of the inner membrane and loosely associated with mitoribosomes	RMD9	YGL107C	P53140	S000003075
